Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
82;21100367530;"Acta neuropathologica communications";journal;"20515960";2,845;Q1;56;213;357;4863;2088;340;5,63;22,83;United Kingdom;Western Europe;"BioMed Central Ltd.";"2013-2020";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
83;21100854855;"Clinical and Translational Immunology";journal;"20500068";2,833;Q1;34;42;95;2901;636;84;5,26;69,07;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2015-2020";"Immunology (Q1); Immunology and Allergy (Q1); Nursing (miscellaneous) (Q1)"
84;19600166320;"Protein and Cell";journal;"16748018, 1674800X";2,827;Q1;63;107;305;3392;1464;211;5,35;31,70;Germany;Western Europe;"Springer-Verlag GmbH and Co. KG";"2010-2020";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)"
85;21100369734;"Neurobiology of Stress";journal;"23522895";2,815;Q1;33;60;99;5610;739;98;7,18;93,50;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Biochemistry (Q1); Cellular and Molecular Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Endocrinology (Q1); Molecular Biology (Q1); Physiology (Q1)"
86;21100870831;"npj Aging and Mechanisms of Disease";journal;"20563973";2,772;Q1;19;7;48;331;297;45;5,54;47,29;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2020";"Aging (Q1); Geriatrics and Gerontology (Q1)"
87;19900191866;"Translational Psychiatry";journal;"21583188";2,760;Q1;82;327;852;20792;5118;846;5,45;63,58;United Kingdom;Western Europe;"Nature Publishing Group";"2011-2020";"Biological Psychiatry (Q1); Cellular and Molecular Neuroscience (Q1); Psychiatry and Mental Health (Q1)"
88;21100218107;"Journal of Advances in Modeling Earth Systems";journal;"19422466";2,741;Q1;58;217;422;15775;1907;413;4,42;72,70;United States;Northern America;"Wiley-Blackwell";"2011-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Chemistry (Q1); Global and Planetary Change (Q1)"
89;21100853548;"Journal of Amino Acids";journal;"20900104, 20900112";2,733;Q1;5;0;3;0;34;3;6,00;0,00;Egypt;Africa/Middle East;"Hindawi Limited";"2014-2017";"Biochemistry (Q1); Molecular Biology (Q1)"
90;20228;"Emerging Infectious Diseases";journal;"10806040, 10806059";2,720;Q1;226;497;1560;9435;7144;1028;4,44;18,98;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1995-2020";"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1)"
91;21100403278;"NursingPlus Open";journal;"23529008";2,707;Q1;8;0;11;0;184;10;2,40;0,00;Netherlands;Western Europe;"Elsevier BV";"2015-2018";"Nursing (miscellaneous) (Q1)"
92;21100852120;"npj Biofilms and Microbiomes";journal;"20555008";2,705;Q1;29;37;83;2270;650;83;6,92;61,35;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2020";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Microbiology (Q1)"
93;29945;"Journal of Carcinogenesis";journal;"09746773, 14773163";2,689;Q1;38;6;11;319;123;11;12,89;53,17;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2002-2020";"Cancer Research (Q1); Health, Toxicology and Mutagenesis (Q1); Oncology (Q1)"
94;21100403190;"Earth's Future";journal;"23284277";2,680;Q1;39;102;260;7033;1668;223;6,38;68,95;United States;Northern America;"John Wiley and Sons Inc.";"2014-2020";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
95;5200152632;"Environmental Research Letters";journal;"17489326";2,675;Q1;124;599;1376;35463;8839;1362;6,02;59,20;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2006-2020";"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
